Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"More than modelling and hiding: towards a comprehensive view of Web mining and privacy","Data Mining and Knowledge Discovery","","24","3","10.1007/s10618-012-0254-1","Bettina Berendt","2012","http://link.springer.com/article/10.1007/s10618-012-0254-1","Article"
"Context-aware solutions for asthma condition management: a survey","Universal Access in the Information Society","","","","10.1007/s10209-018-0641-5","Mario QuindeNawaz KhanJuan Carlos AugustoAléchia van WykJill Stewart","2018","http://link.springer.com/article/10.1007/s10209-018-0641-5","Article"
"On the use of many quality attributes for software refactoring: a many-objective search-based software engineering approach","Empirical Software Engineering","","21","6","10.1007/s10664-015-9414-4","Mohamed Wiem MkaouerMarouane KessentiniSlim BechikhMel Ó CinnéideKalyanmoy Deb","2016","http://link.springer.com/article/10.1007/s10664-015-9414-4","Article"
"Software model synthesis using satisfiability solvers","Empirical Software Engineering","","18","4","10.1007/s10664-012-9222-z","Marijn J. H. HeuleSicco Verwer","2013","http://link.springer.com/article/10.1007/s10664-012-9222-z","Article"
"Component attributes and their importance in decisions and component selection","Software Quality Journal","","","","10.1007/s11219-019-09465-2","Panagiota ChatzipetrouEfi PapatheocharousKrzysztof WnukMarkus BorgEmil AlégrothTony Gorschek","2019","http://link.springer.com/article/10.1007/s11219-019-09465-2","Article"
"A study of the relation of mobile device attributes with the user-perceived quality of Android apps","Empirical Software Engineering","","22","6","10.1007/s10664-017-9507-3","Ehsan NoeiMark D. SyerYing ZouAhmed E. HassanIman Keivanloo","2017","http://link.springer.com/article/10.1007/s10664-017-9507-3","Article"
"An empirical study on the potential usefulness of domain models for completeness checking of requirements","Empirical Software Engineering","","24","4","10.1007/s10664-019-09693-x","Chetan AroraMehrdad SabetzadehLionel C. Briand","2019","http://link.springer.com/article/10.1007/s10664-019-09693-x","Article"
"SoSyM reflections of 2017: a journal status report","Software & Systems Modeling","","17","1","10.1007/s10270-018-0656-7","Geri GeorgJeff GrayBernhard RumpeMartin Schindler","2018","http://link.springer.com/article/10.1007/s10270-018-0656-7","Article"
"Pirasa: strategic protocol selection for e-commerce agents","Electronic Markets","","29","2","10.1007/s12525-018-0307-4","Jack HopkinsÖzgür KafaliBedour AlrayesKostas Stathis","2019","http://link.springer.com/article/10.1007/s12525-018-0307-4","Article"
"Generalizability and Applicability of Model-Based Business Process Compliance-Checking Approaches — A State-of-the-Art Analysis and Research Roadmap","Business Research","","5","2","10.1007/BF03342739","Jörg BeckerPatrick DelfmannMathias EggertSebastian Schwittay","2012","http://link.springer.com/article/10.1007/BF03342739","Article"
"Applying evolutionary computation to mitigate uncertainty in dynamically-adaptive, high-assurance middleware","Journal of Internet Services and Applications","","3","1","10.1007/s13174-011-0049-4","Philip K. McKinleyBetty H. C. ChengAndres J. RamirezAdam C. Jensen","2012","http://link.springer.com/article/10.1007/s13174-011-0049-4","Article"
"Why Neurotechnologies? About the Purposes, Opportunities and Limitations of Neurotechnologies in Clinical Applications","Neuroethics","","","","10.1007/s12152-019-09406-7","Thomas Stieglitz","2019","http://link.springer.com/article/10.1007/s12152-019-09406-7","Article"
"An initial categorization of foundational research in complex technical systems","Journal of Zhejiang University-SCIENCE A","","16","9","10.1631/jzus.A1500172","Imre Horváth","2015","http://link.springer.com/article/10.1631/jzus.A1500172","Article"
"Beast methodology: An agile testing methodology for multi-agent systems based on behaviour driven development","Information Systems Frontiers","","16","2","10.1007/s10796-013-9438-5","Álvaro CarreraCarlos A. IglesiasMercedes Garijo","2014","http://link.springer.com/article/10.1007/s10796-013-9438-5","Article"
"Perspectives on engineering more usable context-aware systems","Journal of Ambient Intelligence and Humanized Computing","","9","5","10.1007/s12652-018-0863-7","Unai Alegre-IbarraJuan Carlos AugustoCarl Evans","2018","http://link.springer.com/article/10.1007/s12652-018-0863-7","Article"
"DSL-driven generation of Graphical User Interfaces","Central European Journal of Computer Science","","4","4","10.2478/s13537-014-0210-9","Michaela BačíkováJaroslav Porubän","2014","http://link.springer.com/article/10.2478/s13537-014-0210-9","Article"
"Systematic literature review of the objectives, techniques, kinds, and architectures of models at runtime","Software & Systems Modeling","","15","1","10.1007/s10270-013-0394-9","Michael SzvetitsUwe Zdun","2016","http://link.springer.com/article/10.1007/s10270-013-0394-9","Article"
"Unique identification of elements in evolving software models","Software & Systems Modeling","","13","2","10.1007/s10270-012-0311-7","Sven Wenzel","2014","http://link.springer.com/article/10.1007/s10270-012-0311-7","Article"
"RFID enabled traceability networks: a survey","Distributed and Parallel Databases","","29","5 - 6","10.1007/s10619-011-7084-9","Yanbo WuDamith C. RanasingheQuan Z. ShengSherali ZeadallyJian Yu","2011","http://link.springer.com/article/10.1007/s10619-011-7084-9","Article"
"Harnessing the social web to enhance insights into people’s opinions in business, government and public administration","Information Systems Frontiers","","19","2","10.1007/s10796-016-9681-7","Aaron W. Baur","2017","http://link.springer.com/article/10.1007/s10796-016-9681-7","Article"
"Understanding Sybil Groups in the Wild","Journal of Computer Science and Technology","","30","6","10.1007/s11390-015-1602-6","Jing JiangZi-Fei ShanXiao WangLi ZhangYa-Fei Dai","2015","http://link.springer.com/article/10.1007/s11390-015-1602-6","Article"
"A framework for an integrated unified modeling language","Frontiers of Information Technology & Electronic Engineering","","17","2","10.1631/FITEE.1500094","Mohammad AlshayebNasser KhashanSajjad Mahmood","2016","http://link.springer.com/article/10.1631/FITEE.1500094","Article"
"Using frame semantics for classifying and summarizing application store reviews","Empirical Software Engineering","","23","6","10.1007/s10664-018-9605-x","Nishant JhaAnas Mahmoud","2018","http://link.springer.com/article/10.1007/s10664-018-9605-x","Article"
"Large-scale information retrieval in software engineering - an experience report from industrial application","Empirical Software Engineering","","21","6","10.1007/s10664-015-9410-8","Michael UnterkalmsteinerTony GorschekRobert FeldtNiklas Lavesson","2016","http://link.springer.com/article/10.1007/s10664-015-9410-8","Article"
"A Hybrid Instance Selection Using Nearest-Neighbor for Cross-Project Defect Prediction","Journal of Computer Science and Technology","","30","5","10.1007/s11390-015-1575-5","Duksan RyuJong-In JangJongmoon Baik","2015","http://link.springer.com/article/10.1007/s11390-015-1575-5","Article"
"Towards improving decision making and estimating the value of decisions in value-based software engineering: the VALUE framework","Software Quality Journal","","26","2","10.1007/s11219-017-9360-z","Emilia MendesPilar RodriguezVitor FreitasSimon BakerMohamed Amine Atoui","2018","http://link.springer.com/article/10.1007/s11219-017-9360-z","Article"
"Data-efficient performance learning for configurable systems","Empirical Software Engineering","","23","3","10.1007/s10664-017-9573-6","Jianmei GuoDingyu YangNorbert SiegmundSven ApelAtrisha SarkarPavel ValovKrzysztof CzarneckiAndrzej WasowskiHuiqun Yu","2018","http://link.springer.com/article/10.1007/s10664-017-9573-6","Article"
"A transfer cost-sensitive boosting approach for cross-project defect prediction","Software Quality Journal","","25","1","10.1007/s11219-015-9287-1","Duksan RyuJong-In JangJongmoon Baik","2017","http://link.springer.com/article/10.1007/s11219-015-9287-1","Article"
"Statistical prioritization for software product line testing: an experience report","Software & Systems Modeling","","16","1","10.1007/s10270-015-0479-8","Xavier DevroeyGilles PerrouinMaxime CordyHamza SamihAxel LegayPierre-Yves SchobbensPatrick Heymans","2017","http://link.springer.com/article/10.1007/s10270-015-0479-8","Article"
"Addressing the evolution of automated user behaviour patterns by runtime model interpretation","Software & Systems Modeling","","14","4","10.1007/s10270-013-0371-3","Estefanía SerralPedro ValderasVicente Pelechano","2015","http://link.springer.com/article/10.1007/s10270-013-0371-3","Article"
"Data sharing practices, information exchange behaviors, and knowledge discovery dynamics: a study of natural resources and environmental scientists","Environmental Systems Research","","6","1","10.1186/s40068-017-0086-5","Yi Shen","2017","http://link.springer.com/article/10.1186/s40068-017-0086-5","Article"
"Prediction of faults-slip-through in large software projects: an empirical evaluation","Software Quality Journal","","22","1","10.1007/s11219-013-9205-3","Wasif AfzalRichard TorkarRobert FeldtTony Gorschek","2014","http://link.springer.com/article/10.1007/s11219-013-9205-3","Article"
"The impact of feature selection on maintainability prediction of service-oriented applications","Service Oriented Computing and Applications","","11","2","10.1007/s11761-016-0202-9","Lov KumarAneesh KrishnaSantanu Ku. Rath","2017","http://link.springer.com/article/10.1007/s11761-016-0202-9","Article"
"Coherence of comments and method implementations: a dataset and an empirical investigation","Software Quality Journal","","26","2","10.1007/s11219-016-9347-1","Anna CorazzaValerio MaggioGiuseppe Scanniello","2018","http://link.springer.com/article/10.1007/s11219-016-9347-1","Article"
"An exploratory classification of applications in the realm of collaborative modeling and design","Information Systems and e-Business Management","","8","3","10.1007/s10257-008-0101-5","Ebrahim BagheriAli A. Ghorbani","2010","http://link.springer.com/article/10.1007/s10257-008-0101-5","Article"
"Petri net-based context modeling for context-aware systems","Artificial Intelligence Review","","37","1","10.1007/s10462-011-9218-x","Seungwok HanHee Yong Youn","2012","http://link.springer.com/article/10.1007/s10462-011-9218-x","Article"
"A systematic literature review on vision based gesture recognition techniques","Multimedia Tools and Applications","","77","21","10.1007/s11042-018-5971-z","Ahmad Sami Al-ShamaylehRodina AhmadMohammad A. M. AbushariahKhubaib Amjad AlamNazean Jomhari","2018","http://link.springer.com/article/10.1007/s11042-018-5971-z","Article"
"Predicting user demographics from music listening information","Multimedia Tools and Applications","","78","3","10.1007/s11042-018-5980-y","Thomas KrismayerMarkus SchedlPeter KneesRick Rabiser","2019","http://link.springer.com/article/10.1007/s11042-018-5980-y","Article"
"Introduction of static quality analysis in small- and medium-sized software enterprises: experiences from technology transfer","Software Quality Journal","","22","3","10.1007/s11219-013-9217-z","Mario GleirscherDmitriy GolubitskiyMaximilian IrlbeckStefan Wagner","2014","http://link.springer.com/article/10.1007/s11219-013-9217-z","Article"
"Modelling the ‘hurried’ bug report reading process to summarize bug reports","Empirical Software Engineering","","20","2","10.1007/s10664-014-9311-2","Rafael LotufoZeeshan MalikKrzysztof Czarnecki","2015","http://link.springer.com/article/10.1007/s10664-014-9311-2","Article"
"Improving automated requirements trace retrieval: a study of term-based enhancement methods","Empirical Software Engineering","","15","2","10.1007/s10664-009-9114-z","Xuchang ZouRaffaella SettimiJane Cleland-Huang","2010","http://link.springer.com/article/10.1007/s10664-009-9114-z","Article"
"The impact of rapid release cycles on the integration delay of fixed issues","Empirical Software Engineering","","23","2","10.1007/s10664-017-9548-7","Daniel Alencar da CostaShane McIntoshChristoph TreudeUirá KuleszaAhmed E. Hassan","2018","http://link.springer.com/article/10.1007/s10664-017-9548-7","Article"
"A prudent based approach for compromised user credentials detection","Cluster Computing","","21","1","10.1007/s10586-017-0878-4","Adnan AminBabar ShahSajid AnwarFeras Al-ObeidatAsad Masood KhattakAwais Adnan","2018","http://link.springer.com/article/10.1007/s10586-017-0878-4","Article"
"Evolving software trace links between requirements and source code","Empirical Software Engineering","","23","4","10.1007/s10664-017-9561-x","Mona RahimiJane Cleland-Huang","2018","http://link.springer.com/article/10.1007/s10664-017-9561-x","Article"
"Generating counterexamples of model-based software product lines","International Journal on Software Tools for Technology Transfer","","17","5","10.1007/s10009-014-0341-2","João Bosco Ferreira FilhoOlivier BaraisMathieu AcherJérôme Le NoirAxel LegayBenoit Baudry","2015","http://link.springer.com/article/10.1007/s10009-014-0341-2","Article"
"Crowdcloud: a crowdsourced system for cloud infrastructure","Cluster Computing","","22","2","10.1007/s10586-018-2843-2","Mahmood HosseiniConstantinos Marios AngelopoulosWei Koong ChaiStephane Kundig","2019","http://link.springer.com/article/10.1007/s10586-018-2843-2","Article"
"Type inference in flexible model-driven engineering using classification algorithms","Software & Systems Modeling","","18","1","10.1007/s10270-018-0658-5","Athanasios ZolotasNicholas MatragkasSam DevlinDimitrios S. KolovosRichard F. Paige","2019","http://link.springer.com/article/10.1007/s10270-018-0658-5","Article"
"Software SMEs’ unofficial readiness for CMMI®-based software process improvement","Software Quality Journal","","24","4","10.1007/s11219-015-9277-3","Javed IqbalRodina Binti AhmadMohd Hairul Nizam Md NasirMahmood NiaziShahaboddin ShamshirbandMuhammad Asim Noor","2016","http://link.springer.com/article/10.1007/s11219-015-9277-3","Article"
"Reconfigurable Autonomy","KI - Künstliche Intelligenz","","28","3","10.1007/s13218-014-0308-1","Louise A. DennisMichael FisherJonathan M. AitkenSandor M. VeresYang GaoAffan ShaukatGuy Burroughes","2014","http://link.springer.com/article/10.1007/s13218-014-0308-1","Article"
"Fusing multi-abstraction vector space models for concern localization","Empirical Software Engineering","","23","4","10.1007/s10664-017-9585-2","Yun ZhangDavid LoXin XiaGiuseppe ScannielloTien-Duy B. LeJianling Sun","2018","http://link.springer.com/article/10.1007/s10664-017-9585-2","Article"
"Semantic topic models for source code analysis","Empirical Software Engineering","","22","4","10.1007/s10664-016-9473-1","Anas MahmoudGary Bradshaw","2017","http://link.springer.com/article/10.1007/s10664-016-9473-1","Article"
"Weighing lexical information for software clustering in the context of architecture recovery","Empirical Software Engineering","","21","1","10.1007/s10664-014-9347-3","Anna CorazzaSergio Di MartinoValerio MaggioGiuseppe Scanniello","2016","http://link.springer.com/article/10.1007/s10664-014-9347-3","Article"
"Learning and Recognizing Structures in Façade Scenes (eTRIMS)—A Retrospective","KI - Künstliche Intelligenz","","24","1","10.1007/s13218-010-0006-6","Lothar HotzBernd Neumann","2010","http://link.springer.com/article/10.1007/s13218-010-0006-6","Article"
"Augmenting and structuring user queries to support efficient free-form code search","Empirical Software Engineering","","23","5","10.1007/s10664-017-9544-y","Raphael SirresTegawendé F. BissyandéDongsun KimDavid LoJacques KleinKisub KimYves Le Traon","2018","http://link.springer.com/article/10.1007/s10664-017-9544-y","Article"
"Evidence-driven decision support in critical infrastructure management through enhanced domain knowledge modeling","Multimedia Tools and Applications","","71","1","10.1007/s11042-013-1469-x","Seok-Won Lee","2014","http://link.springer.com/article/10.1007/s11042-013-1469-x","Article"
"MobiGuide: a personalized and patient-centric decision-support system and its evaluation in the atrial fibrillation and gestational diabetes domains","User Modeling and User-Adapted Interaction","","27","2","10.1007/s11257-017-9190-5","Mor PelegYuval ShaharSilvana QuagliniAdi FuxGema García-SáezAyelet GoldsteinM. Elena HernandoDenis KlimovIñaki Martínez-SarrieguiCarlo NapolitanoEnea ParimbelliMercedes RiglaLucia SacchiErez ShalomPnina Soffer","2017","http://link.springer.com/article/10.1007/s11257-017-9190-5","Article"
"Empirical evaluation of the effects of experience on code quality and programmer productivity: an exploratory study","Empirical Software Engineering","","22","5","10.1007/s10664-016-9471-3","Oscar DiesteAlejandrina M. ArandaFernando UyaguariBurak TurhanAyse TosunDavide FucciMarkku OivoNatalia Juristo","2017","http://link.springer.com/article/10.1007/s10664-016-9471-3","Article"
"Test case prioritization: a systematic mapping study","Software Quality Journal","","21","3","10.1007/s11219-012-9181-z","Cagatay CatalDeepti Mishra","2013","http://link.springer.com/article/10.1007/s11219-012-9181-z","Article"
"Community detection in social networks using user frequent pattern mining","Knowledge and Information Systems","","51","1","10.1007/s10115-016-0970-8","Seyed Ahmad MoosaviMehrdad JalaliNegin MisaghianShahaboddin ShamshirbandMohammad Hossein Anisi","2017","http://link.springer.com/article/10.1007/s10115-016-0970-8","Article"
"A Joint Evaluation of Energy-Efficient Downlink Scheduling and Partial CQI Feedback for LTE Video Transmission","Wireless Personal Communications","","98","1","10.1007/s11277-017-4863-2","Mustafa Ismael SalmanAli Mohammed MansoorHamid Abdulla JalabAznul Qalid Md. SabriRodina Ahmed","2018","http://link.springer.com/article/10.1007/s11277-017-4863-2","Article"
"Assessing software product line potential: an exploratory industrial case study","Empirical Software Engineering","","21","2","10.1007/s10664-014-9358-0","Heiko KoziolekThomas GoldschmidtThijmen de GooijerDominik DomisStephan SehestedtThomas GamerMarkus Aleksy","2016","http://link.springer.com/article/10.1007/s10664-014-9358-0","Article"
"An industry experiment on the effects of test-driven development on external quality and productivity","Empirical Software Engineering","","22","6","10.1007/s10664-016-9490-0","Ayse TosunOscar DiesteDavide FucciSira VegasBurak TurhanHakan ErdogmusAdrian SantosMarkku OivoKimmo ToroJanne JarvinenNatalia Juristo","2017","http://link.springer.com/article/10.1007/s10664-016-9490-0","Article"
"Dohko: an autonomic system for provision, configuration, and management of inter-cloud environments based on a software product line engineering method","Cluster Computing","","20","3","10.1007/s10586-017-0897-1","Alessandro Ferreira LeiteVander AlvesGenaína Nunes RodriguesClaude TadonkiChristine EisenbeisAlba Cristina Magalhaes Alves de Melo","2017","http://link.springer.com/article/10.1007/s10586-017-0897-1","Article"
"Virtual teaching and learning environments: automatic evaluation with artificial neural networks","Cluster Computing","","","","10.1007/s10586-017-1122-y","Adriano LinoÁlvaro RochaAmanda Sizo","2017","http://link.springer.com/article/10.1007/s10586-017-1122-y","Article"
"On the search for industry-relevant regression testing research","Empirical Software Engineering","","24","4","10.1007/s10664-018-9670-1","Nauman bin AliEmelie EngströmMasoumeh TaromiradMohammad Reza MousaviNasir Mehmood MinhasDaniel HelgessonSebastian KunzeMahsa Varshosaz","2019","http://link.springer.com/article/10.1007/s10664-018-9670-1","Article"
